metric,value
counts_by_cpc.A01D41/02,40
counts_by_cpc.A01D41/04,18
counts_by_cpc.A01D41/06,53
counts_by_cpc.A01D41/08,1
counts_by_cpc.A01D41/10,11
counts_by_cpc.A01D41/12,152
counts_by_cpc.A01D41/1208,148
counts_by_cpc.A01D41/1217,561
counts_by_cpc.A01D41/1226,21
counts_by_cpc.A01D41/1235,2
counts_by_cpc.A01D41/1243,29
counts_by_cpc.A01D41/1252,9
counts_by_cpc.A01D41/1261,1
counts_by_cpc.A01D41/127,177
counts_by_cpc.A01D41/1271,60
counts_by_cpc.A01D41/1272,38
counts_by_cpc.A01D41/1273,19
counts_by_cpc.A01D41/1274,59
counts_by_cpc.A01D41/1275,114
counts_by_cpc.A01D41/1276,20
counts_by_cpc.A01D41/1277,44
counts_by_cpc.A01D41/1278,42
counts_by_cpc.A01D41/133,3
counts_by_cpc.A01D41/14,174
counts_by_cpc.A01D41/141,30
counts_by_cpc.A01D41/142,27
counts_by_cpc.A01D41/144,4
counts_by_cpc.A01D41/145,6
counts_by_cpc.A01D41/147,1
counts_by_cpc.A01D41/148,2
counts_by_cpc.A01D41/16,34
counts_by_cpc.A01D42/00,76
counts_by_cpc.A01D42/005,19
counts_by_cpc.A01D42/02,1
counts_by_cpc.A01D42/04,6
counts_by_cpc.A01D42/06,6
counts_by_cpc.A01D42/08,5
counts_by_cpc.A01D43/00,69
counts_by_cpc.A01D43/003,9
counts_by_cpc.A01D43/006,9
counts_by_cpc.A01D43/02,8
counts_by_cpc.A01D43/04,3
counts_by_cpc.A01D43/06,138
counts_by_cpc.A01D43/063,39
counts_by_cpc.A01D43/0631,20
counts_by_cpc.A01D43/0633,6
counts_by_cpc.A01D43/0635,16
counts_by_cpc.A01D43/0636,1
counts_by_cpc.A01D43/0638,8
counts_by_cpc.A01D43/07,104
counts_by_cpc.A01D43/073,126
counts_by_cpc.A01D43/077,53
counts_by_cpc.A01D43/08,21
counts_by_cpc.A01D43/082,2
counts_by_cpc.A01D43/083,1
counts_by_cpc.A01D43/085,13
counts_by_cpc.A01D43/086,45
counts_by_cpc.A01D43/087,224
counts_by_cpc.A01D43/088,3
counts_by_cpc.A01D43/10,11
counts_by_cpc.A01D43/102,1
counts_by_cpc.A01D43/105,3
counts_by_cpc.A01D43/107,2
counts_by_cpc.A01D43/12,9
counts_by_cpc.A01D43/14,39
counts_by_cpc.A01D43/16,20
counts_by_cpc.A01D44/00,90
counts_by_cpc.A01D44/02,1
counts_by_cpc.A01D45/00,252
counts_by_cpc.A01D45/001,23
counts_by_cpc.A01D45/002,58
counts_by_cpc.A01D45/005,6
counts_by_cpc.A01D45/006,186
counts_by_cpc.A01D45/007,37
counts_by_cpc.A01D45/008,40
counts_by_cpc.A01D45/02,26
counts_by_cpc.A01D45/021,14
counts_by_cpc.A01D45/023,41
counts_by_cpc.A01D45/025,2
counts_by_cpc.A01D45/028,3
counts_by_cpc.A01D45/04,1
counts_by_cpc.A01D45/06,1
counts_by_cpc.A01D45/065,13
counts_by_cpc.A01D45/10,69
counts_by_cpc.A01D45/16,52
counts_by_cpc.A01D45/22,7
counts_by_cpc.A01D45/24,5
counts_by_cpc.A01D45/26,51
counts_by_cpc.A01D45/263,29
counts_by_cpc.A01D45/266,5
counts_by_cpc.A01D45/28,3
counts_by_cpc.A01D45/30,3
counts_by_cpc.A01D46/00,407
counts_by_cpc.A01D46/005,208
counts_by_cpc.A01D46/02,33
counts_by_cpc.A01D46/04,113
counts_by_cpc.A01D46/06,3
counts_by_cpc.A01D46/08,17
counts_by_cpc.A01D46/082,3
counts_by_cpc.A01D46/084,9
counts_by_cpc.A01D46/085,13
counts_by_cpc.A01D46/087,2
counts_by_cpc.A01D46/10,22
counts_by_cpc.A01D46/12,3
counts_by_cpc.A01D46/14,10
counts_by_cpc.A01D46/16,1
counts_by_cpc.A01D46/20,204
counts_by_cpc.A01D46/22,242
counts_by_cpc.A01D46/24,575
counts_by_cpc.A01D46/243,160
counts_by_cpc.A01D46/247,119
counts_by_cpc.A01D46/253,277
counts_by_cpc.A01D46/26,79
counts_by_cpc.A01D46/264,73
counts_by_cpc.A01D46/28,172
counts_by_cpc.A01D46/285,76
counts_by_cpc.A01D46/30,2226
counts_by_cpc.A01D47/00,36
counts_by_cpc.A01D51/00,123
counts_by_cpc.A01D51/002,41
counts_by_cpc.A01D51/005,68
counts_by_cpc.A01D51/007,2
counts_by_cpc.A01D57/00,65
counts_by_cpc.A01D57/01,18
counts_by_cpc.A01D57/02,5
counts_by_cpc.A01D57/03,2
counts_by_cpc.A01D57/04,1
counts_by_cpc.A01D57/06,25
counts_by_cpc.A01D57/10,4
counts_by_cpc.A01D57/12,31
counts_by_cpc.A01D57/20,352
counts_by_cpc.A01D57/22,5
counts_by_cpc.A01D57/26,16
counts_by_cpc.A01D57/30,13
counts_by_cpc.A01D59/02,2
counts_by_cpc.A01D61/00,155
counts_by_cpc.A01D61/002,149
counts_by_cpc.A01D61/004,21
counts_by_cpc.A01D61/006,24
counts_by_cpc.A01D61/008,333
counts_by_cpc.A01D61/02,472
counts_by_cpc.A01D61/04,96
counts_by_cpc.A01D63/04,1
counts_by_cpc.A01D65/00,10
counts_by_cpc.A01D65/02,1
counts_by_cpc.A01D67/00,83
counts_by_cpc.A01D67/005,16
counts_by_cpc.A01D67/02,8
counts_by_cpc.A01D67/04,11
counts_by_cpc.A01D69/00,32
counts_by_cpc.A01D69/002,2
counts_by_cpc.A01D69/005,7
counts_by_cpc.A01D69/02,115
counts_by_cpc.A01D69/025,5
counts_by_cpc.A01D69/03,18
counts_by_cpc.A01D69/06,43
counts_by_cpc.A01D69/08,10
counts_by_cpc.A01D69/10,3
counts_by_cpc.A01D7/00,7
counts_by_cpc.A01D7/02,2
counts_by_cpc.A01D7/04,1
counts_by_cpc.A01D7/08,1
counts_by_cpc.A01D7/10,3
counts_by_cpc.A01D75/00,181
counts_by_cpc.A01D75/002,24
counts_by_cpc.A01D75/004,1
counts_by_cpc.A01D75/006,7
