metric,value
counts_by_cpc.A01D75/008,10
counts_by_cpc.A01D75/02,7
counts_by_cpc.A01D75/04,3
counts_by_cpc.A01D75/06,2
counts_by_cpc.A01D75/18,53
counts_by_cpc.A01D75/182,27
counts_by_cpc.A01D75/185,83
counts_by_cpc.A01D75/187,24
counts_by_cpc.A01D75/20,47
counts_by_cpc.A01D75/206,2
counts_by_cpc.A01D75/26,2
counts_by_cpc.A01D75/28,29
counts_by_cpc.A01D75/282,13
counts_by_cpc.A01D75/285,2
counts_by_cpc.A01D75/287,22
counts_by_cpc.A01D75/30,1
counts_by_cpc.A01D78/001,1
counts_by_cpc.A01D78/002,1
counts_by_cpc.A01D78/02,7
counts_by_cpc.A01D78/04,8
counts_by_cpc.A01D78/06,3
counts_by_cpc.A01D78/1078,1
counts_by_cpc.A01D78/12,2
counts_by_cpc.A01D80/00,1
counts_by_cpc.A01D80/02,1
counts_by_cpc.A01D82/00,29
counts_by_cpc.A01D82/02,2
counts_by_cpc.A01D84/00,25
counts_by_cpc.A01D85/00,4
counts_by_cpc.A01D85/001,9
counts_by_cpc.A01D85/002,2
counts_by_cpc.A01D85/004,15
counts_by_cpc.A01D85/005,36
counts_by_cpc.A01D87/00,99
counts_by_cpc.A01D87/0007,13
counts_by_cpc.A01D87/0023,8
counts_by_cpc.A01D87/003,107
counts_by_cpc.A01D87/0038,83
counts_by_cpc.A01D87/0046,60
counts_by_cpc.A01D87/0053,60
counts_by_cpc.A01D87/0061,68
counts_by_cpc.A01D87/0069,110
counts_by_cpc.A01D87/0076,18
counts_by_cpc.A01D87/0092,9
counts_by_cpc.A01D87/02,123
counts_by_cpc.A01D87/04,6
counts_by_cpc.A01D87/06,1
counts_by_cpc.A01D87/08,11
counts_by_cpc.A01D87/10,222
counts_by_cpc.A01D87/12,67
counts_by_cpc.A01D87/121,13
counts_by_cpc.A01D87/122,128
counts_by_cpc.A01D87/125,6
counts_by_cpc.A01D87/126,62
counts_by_cpc.A01D87/127,444
counts_by_cpc.A01D89/00,10
counts_by_cpc.A01D89/001,24
counts_by_cpc.A01D89/002,35
counts_by_cpc.A01D89/003,35
counts_by_cpc.A01D89/004,9
counts_by_cpc.A01D89/005,6
counts_by_cpc.A01D89/006,4
counts_by_cpc.A01D89/007,6
counts_by_cpc.A01D89/008,12
counts_by_cpc.A01D9/00,2
counts_by_cpc.A01D9/02,1
counts_by_cpc.A01D9/06,3
counts_by_cpc.A01D90/00,150
counts_by_cpc.A01D90/02,131
counts_by_cpc.A01D90/04,32
counts_by_cpc.A01D90/08,109
counts_by_cpc.A01D90/083,42
counts_by_cpc.A01D90/10,409
counts_by_cpc.A01D90/105,63
counts_by_cpc.A01D90/12,80
counts_by_cpc.A01D90/14,20
counts_by_cpc.A01D90/16,36
counts_by_cpc.A01D91/00,27
counts_by_cpc.A01D91/02,4
counts_by_cpc.A01D91/04,128
counts_by_cpc.A01D93/00,22
counts_by_cpc.A01F1/02,22
counts_by_cpc.A01F11/00,16
counts_by_cpc.A01F11/06,33
counts_by_cpc.A01F11/08,2
counts_by_cpc.A01F12/00,12
counts_by_cpc.A01F12/10,106
counts_by_cpc.A01F12/12,7
counts_by_cpc.A01F12/16,8
counts_by_cpc.A01F12/18,41
counts_by_cpc.A01F12/182,1
counts_by_cpc.A01F12/184,3
counts_by_cpc.A01F12/20,7
counts_by_cpc.A01F12/22,6
counts_by_cpc.A01F12/24,3
counts_by_cpc.A01F12/26,4
counts_by_cpc.A01F12/28,4
counts_by_cpc.A01F12/30,4
counts_by_cpc.A01F12/40,7
counts_by_cpc.A01F12/42,1
counts_by_cpc.A01F12/44,13
counts_by_cpc.A01F12/442,17
counts_by_cpc.A01F12/444,4
counts_by_cpc.A01F12/446,26
counts_by_cpc.A01F12/448,1
counts_by_cpc.A01F12/46,385
counts_by_cpc.A01F12/48,33
counts_by_cpc.A01F12/50,3
counts_by_cpc.A01F12/52,36
counts_by_cpc.A01F12/54,2
counts_by_cpc.A01F12/56,6
counts_by_cpc.A01F12/58,6
counts_by_cpc.A01F12/60,31
counts_by_cpc.A01F13/00,2
counts_by_cpc.A01F15/00,31
counts_by_cpc.A01F15/005,5
counts_by_cpc.A01F15/02,7
counts_by_cpc.A01F15/04,13
counts_by_cpc.A01F15/042,2
counts_by_cpc.A01F15/046,5
counts_by_cpc.A01F15/07,89
counts_by_cpc.A01F15/0705,4
counts_by_cpc.A01F15/071,16
counts_by_cpc.A01F15/0715,3
counts_by_cpc.A01F15/08,22
counts_by_cpc.A01F15/0816,6
counts_by_cpc.A01F15/0825,10
counts_by_cpc.A01F15/0833,7
counts_by_cpc.A01F15/0841,4
counts_by_cpc.A01F15/085,2
counts_by_cpc.A01F15/0875,9
counts_by_cpc.A01F15/0883,7
counts_by_cpc.A01F15/10,48
counts_by_cpc.A01F15/101,14
counts_by_cpc.A01F15/106,29
counts_by_cpc.A01F15/14,6
counts_by_cpc.A01F15/141,1
counts_by_cpc.A01F15/18,54
counts_by_cpc.A01F17/00,11
counts_by_cpc.A01F17/02,31
counts_by_cpc.A01F17/04,8
counts_by_cpc.A01F2012/188,13
counts_by_cpc.A01F2015/048,1
counts_by_cpc.A01F2015/072,1
counts_by_cpc.A01F2015/0725,4
counts_by_cpc.A01F2015/0735,3
counts_by_cpc.A01F2015/074,2
counts_by_cpc.A01F2015/0745,3
counts_by_cpc.A01F2015/0755,3
counts_by_cpc.A01F2015/076,3
counts_by_cpc.A01F2015/077,9
counts_by_cpc.A01F2015/0775,9
counts_by_cpc.A01F2015/078,66
counts_by_cpc.A01F2015/0785,1
counts_by_cpc.A01F2015/079,2
counts_by_cpc.A01F2015/0795,62
counts_by_cpc.A01F2015/0808,2
counts_by_cpc.A01F2015/102,2
counts_by_cpc.A01F2015/103,12
counts_by_cpc.A01F2015/105,1
counts_by_cpc.A01F2015/107,33
counts_by_cpc.A01F2015/108,29
counts_by_cpc.A01F2015/183,65
counts_by_cpc.A01F2015/186,59
counts_by_cpc.A01F2025/142,1
counts_by_cpc.A01F2025/145,15
counts_by_cpc.A01F2025/147,33
counts_by_cpc.A01F2025/2045,36
counts_by_cpc.A01F2025/2054,19
counts_by_cpc.A01F2025/2063,50
counts_by_cpc.A01F2025/2072,11
counts_by_cpc.A01F2025/2081,9
counts_by_cpc.A01F2025/209,2
counts_by_cpc.A01F21/00,1
counts_by_cpc.A01F25/00,90
counts_by_cpc.A01F25/02,7
counts_by_cpc.A01F25/04,36
counts_by_cpc.A01F25/045,73
counts_by_cpc.A01F25/08,41
counts_by_cpc.A01F25/10,2
counts_by_cpc.A01F25/12,10
counts_by_cpc.A01F25/125,1
counts_by_cpc.A01F25/13,10
counts_by_cpc.A01F25/14,220
counts_by_cpc.A01F25/16,56
counts_by_cpc.A01F25/163,55
counts_by_cpc.A01F25/166,20
counts_by_cpc.A01F25/18,19
counts_by_cpc.A01F25/183,79
counts_by_cpc.A01F25/186,94
counts_by_cpc.A01F25/20,109
counts_by_cpc.A01F25/2009,212
counts_by_cpc.A01F25/2018,214
counts_by_cpc.A01F25/2027,146
counts_by_cpc.A01F25/2036,14
counts_by_cpc.A01F25/22,45
counts_by_cpc.A01F29/00,36
counts_by_cpc.A01F29/005,180
counts_by_cpc.A01F29/01,11
counts_by_cpc.A01F29/02,20
counts_by_cpc.A01F29/025,4
counts_by_cpc.A01F29/04,40
counts_by_cpc.A01F29/06,35
counts_by_cpc.A01F29/08,24
counts_by_cpc.A01F29/09,65
counts_by_cpc.A01F29/095,5
counts_by_cpc.A01F29/10,62
counts_by_cpc.A01F29/12,43
counts_by_cpc.A01F29/14,22
counts_by_cpc.A01F29/16,5
counts_by_cpc.A01F3/00,3
counts_by_cpc.A01F5/00,1
counts_by_cpc.A01F7/00,6
counts_by_cpc.A01F7/02,7
counts_by_cpc.A01F7/04,1
counts_by_cpc.A01F7/06,19
counts_by_cpc.A01F7/062,11
counts_by_cpc.A01F7/067,5
counts_by_cpc.A01G1/00,4
counts_by_cpc.A01G1/001,26
counts_by_cpc.A01G1/002,1
counts_by_cpc.A01G1/004,4
counts_by_cpc.A01G1/007,1
counts_by_cpc.A01G1/04,4
counts_by_cpc.A01G1/042,5
counts_by_cpc.A01G1/046,1
counts_by_cpc.A01G1/06,2
counts_by_cpc.A01G1/08,1
counts_by_cpc.A01G1/12,1
counts_by_cpc.A01G1/125,1
counts_by_cpc.A01G11/00,4
counts_by_cpc.A01G13/00,65
counts_by_cpc.A01G13/02,2
counts_by_cpc.A01G13/0206,9
counts_by_cpc.A01G13/0212,3
counts_by_cpc.A01G13/0231,2
counts_by_cpc.A01G13/0237,6
counts_by_cpc.A01G13/025,9
counts_by_cpc.A01G13/0262,2
counts_by_cpc.A01G13/0275,2
counts_by_cpc.A01G13/0287,5
counts_by_cpc.A01G13/0293,4
counts_by_cpc.A01G13/04,1
counts_by_cpc.A01G13/043,1
counts_by_cpc.A01G13/06,3
counts_by_cpc.A01G13/065,4
counts_by_cpc.A01G13/08,21
counts_by_cpc.A01G13/10,38
counts_by_cpc.A01G13/20,46
counts_by_cpc.A01G13/21,83
counts_by_cpc.A01G13/22,4
counts_by_cpc.A01G13/23,1
counts_by_cpc.A01G13/24,44
counts_by_cpc.A01G13/26,46
counts_by_cpc.A01G13/262,9
counts_by_cpc.A01G13/27,60
counts_by_cpc.A01G13/28,3
counts_by_cpc.A01G13/29,47
counts_by_cpc.A01G13/31,16
counts_by_cpc.A01G13/32,3
counts_by_cpc.A01G13/33,6
counts_by_cpc.A01G13/35,5
counts_by_cpc.A01G13/37,32
counts_by_cpc.A01G13/372,1
counts_by_cpc.A01G13/38,19
counts_by_cpc.A01G13/39,2
counts_by_cpc.A01G15/00,5
counts_by_cpc.A01G17/00,20
counts_by_cpc.A01G17/005,42
counts_by_cpc.A01G17/02,20
counts_by_cpc.A01G17/023,23
counts_by_cpc.A01G17/026,1
counts_by_cpc.A01G17/04,15
counts_by_cpc.A01G17/06,25
counts_by_cpc.A01G17/08,119
counts_by_cpc.A01G17/085,21
counts_by_cpc.A01G17/10,18
counts_by_cpc.A01G17/12,6
counts_by_cpc.A01G17/14,17
counts_by_cpc.A01G17/16,17
counts_by_cpc.A01G17/18,3
counts_by_cpc.A01G18/00,64
counts_by_cpc.A01G18/10,2
counts_by_cpc.A01G18/20,21
counts_by_cpc.A01G18/22,47
counts_by_cpc.A01G18/30,18
counts_by_cpc.A01G18/40,2
counts_by_cpc.A01G18/50,25
counts_by_cpc.A01G18/55,14
counts_by_cpc.A01G18/60,209
counts_by_cpc.A01G18/61,4
counts_by_cpc.A01G18/62,127
counts_by_cpc.A01G18/64,35
counts_by_cpc.A01G18/65,1
counts_by_cpc.A01G18/66,12
counts_by_cpc.A01G18/68,11
counts_by_cpc.A01G18/69,55
counts_by_cpc.A01G18/70,364
counts_by_cpc.A01G18/80,67
counts_by_cpc.A01G2/00,42
counts_by_cpc.A01G2/10,29
counts_by_cpc.A01G2/20,3
counts_by_cpc.A01G2/30,21
counts_by_cpc.A01G2/32,50
counts_by_cpc.A01G2/35,42
counts_by_cpc.A01G2/38,23
counts_by_cpc.A01G20/00,16
counts_by_cpc.A01G20/10,24
counts_by_cpc.A01G20/12,32
counts_by_cpc.A01G20/15,172
counts_by_cpc.A01G20/18,15
counts_by_cpc.A01G20/20,9
counts_by_cpc.A01G20/30,26
counts_by_cpc.A01G20/35,1
counts_by_cpc.A01G20/40,13
counts_by_cpc.A01G20/43,12
counts_by_cpc.A01G20/47,20
counts_by_cpc.A01G2003/005,32
counts_by_cpc.A01G2003/007,3
counts_by_cpc.A01G2003/023,78
counts_by_cpc.A01G2003/0443,13
counts_by_cpc.A01G2003/0452,4
counts_by_cpc.A01G2003/0461,1
counts_by_cpc.A01G2005/005,2
counts_by_cpc.A01G2009/003,2
counts_by_cpc.A01G2009/1446,1
counts_by_cpc.A01G2009/1453,1
counts_by_cpc.A01G2009/1461,2
counts_by_cpc.A01G2009/1484,14
counts_by_cpc.A01G2009/1492,28
counts_by_cpc.A01G2013/004,1
counts_by_cpc.A01G2013/006,1
counts_by_cpc.A01G2017/065,9
counts_by_cpc.A01G2031/003,1
counts_by_cpc.A01G2031/005,1
counts_by_cpc.A01G2031/006,15
counts_by_cpc.A01G2031/007,1
counts_by_cpc.A01G21/00,1
counts_by_cpc.A01G22/00,100
counts_by_cpc.A01G22/05,31
counts_by_cpc.A01G22/10,5
counts_by_cpc.A01G22/15,14
counts_by_cpc.A01G22/20,4
counts_by_cpc.A01G22/22,10
counts_by_cpc.A01G22/25,1
counts_by_cpc.A01G22/35,35
counts_by_cpc.A01G22/40,7
counts_by_cpc.A01G22/50,1
counts_by_cpc.A01G22/60,14
counts_by_cpc.A01G22/67,3
counts_by_cpc.A01G23/00,320
counts_by_cpc.A01G23/003,463
counts_by_cpc.A01G23/006,201
counts_by_cpc.A01G23/02,42
counts_by_cpc.A01G23/04,113
counts_by_cpc.A01G23/043,68
counts_by_cpc.A01G23/046,21
counts_by_cpc.A01G23/06,43
counts_by_cpc.A01G23/062,24
counts_by_cpc.A01G23/065,11
counts_by_cpc.A01G23/067,2
counts_by_cpc.A01G23/08,238
counts_by_cpc.A01G23/081,73
counts_by_cpc.A01G23/083,231
counts_by_cpc.A01G23/085,7
counts_by_cpc.A01G23/087,25
counts_by_cpc.A01G23/089,17
counts_by_cpc.A01G23/091,68
counts_by_cpc.A01G23/093,32
counts_by_cpc.A01G23/095,26
counts_by_cpc.A01G23/0955,40
counts_by_cpc.A01G23/097,35
counts_by_cpc.A01G23/099,111
counts_by_cpc.A01G23/10,69
counts_by_cpc.A01G23/12,35
counts_by_cpc.A01G23/14,17
counts_by_cpc.A01G24/00,12
counts_by_cpc.A01G24/10,3
counts_by_cpc.A01G24/12,10
counts_by_cpc.A01G24/13,1
counts_by_cpc.A01G24/15,6
counts_by_cpc.A01G24/18,3
counts_by_cpc.A01G24/20,9
counts_by_cpc.A01G24/22,11
counts_by_cpc.A01G24/23,1
counts_by_cpc.A01G24/25,6
counts_by_cpc.A01G24/27,1
counts_by_cpc.A01G24/28,8
counts_by_cpc.A01G24/30,8
counts_by_cpc.A01G24/35,6
counts_by_cpc.A01G24/40,9
counts_by_cpc.A01G24/42,1
counts_by_cpc.A01G24/44,19
counts_by_cpc.A01G24/46,3
counts_by_cpc.A01G24/48,4
counts_by_cpc.A01G24/50,11
counts_by_cpc.A01G24/60,38
counts_by_cpc.A01G25/00,62
counts_by_cpc.A01G25/006,1
counts_by_cpc.A01G25/02,127
counts_by_cpc.A01G25/023,17
counts_by_cpc.A01G25/026,8
counts_by_cpc.A01G25/06,9
counts_by_cpc.A01G25/09,212
counts_by_cpc.A01G25/092,34
counts_by_cpc.A01G25/095,2
counts_by_cpc.A01G25/097,13
counts_by_cpc.A01G25/14,3
counts_by_cpc.A01G25/16,194
counts_by_cpc.A01G25/162,2
counts_by_cpc.A01G25/165,20
counts_by_cpc.A01G25/167,63
counts_by_cpc.A01G27/00,90
counts_by_cpc.A01G27/001,30
counts_by_cpc.A01G27/003,129
counts_by_cpc.A01G27/005,75
counts_by_cpc.A01G27/006,4
counts_by_cpc.A01G27/008,89
counts_by_cpc.A01G27/02,37
counts_by_cpc.A01G27/04,2
counts_by_cpc.A01G27/06,11
counts_by_cpc.A01G29/00,10
counts_by_cpc.A01G3/00,157
counts_by_cpc.A01G3/002,58
counts_by_cpc.A01G3/02,182
counts_by_cpc.A01G3/021,26
counts_by_cpc.A01G3/025,24
counts_by_cpc.A01G3/0251,42
counts_by_cpc.A01G3/0255,18
counts_by_cpc.A01G3/033,53
counts_by_cpc.A01G3/0335,26
counts_by_cpc.A01G3/037,60
counts_by_cpc.A01G3/04,29
counts_by_cpc.A01G3/0408,18
counts_by_cpc.A01G3/0417,15
counts_by_cpc.A01G3/0426,13
counts_by_cpc.A01G3/0435,36
counts_by_cpc.A01G3/047,5
counts_by_cpc.A01G3/0475,18
counts_by_cpc.A01G3/053,23
counts_by_cpc.A01G3/0535,4
counts_by_cpc.A01G3/06,4
counts_by_cpc.A01G3/062,16
counts_by_cpc.A01G3/065,2
counts_by_cpc.A01G3/067,10
counts_by_cpc.A01G3/08,241
counts_by_cpc.A01G3/081,5
counts_by_cpc.A01G3/083,11
counts_by_cpc.A01G3/085,73
counts_by_cpc.A01G3/086,72
counts_by_cpc.A01G3/088,33
counts_by_cpc.A01G31/00,45
counts_by_cpc.A01G31/001,3
counts_by_cpc.A01G31/008,39
counts_by_cpc.A01G31/011,1
counts_by_cpc.A01G31/02,388
counts_by_cpc.A01G31/023,3
counts_by_cpc.A01G31/0231,3
counts_by_cpc.A01G31/0232,1
counts_by_cpc.A01G31/024,3
counts_by_cpc.A01G31/025,4
counts_by_cpc.A01G31/04,182
counts_by_cpc.A01G31/042,366
counts_by_cpc.A01G31/045,275
counts_by_cpc.A01G31/047,28
counts_by_cpc.A01G31/06,912
counts_by_cpc.A01G31/065,68
counts_by_cpc.A01G33/00,63
counts_by_cpc.A01G5/00,67
counts_by_cpc.A01G5/02,27
counts_by_cpc.A01G5/04,33
counts_by_cpc.A01G5/06,6
counts_by_cpc.A01G7/00,264
counts_by_cpc.A01G7/02,92
counts_by_cpc.A01G7/04,55
counts_by_cpc.A01G7/045,354
counts_by_cpc.A01G7/06,199
counts_by_cpc.A01G9/00,80
counts_by_cpc.A01G9/006,22
counts_by_cpc.A01G9/02,350
counts_by_cpc.A01G9/021,20
counts_by_cpc.A01G9/022,308
counts_by_cpc.A01G9/023,294
counts_by_cpc.A01G9/024,23
counts_by_cpc.A01G9/025,83
counts_by_cpc.A01G9/026,12
counts_by_cpc.A01G9/027,74
counts_by_cpc.A01G9/028,34
counts_by_cpc.A01G9/029,123
counts_by_cpc.A01G9/0291,5
counts_by_cpc.A01G9/0293,77
counts_by_cpc.A01G9/0295,91
counts_by_cpc.A01G9/0297,43
counts_by_cpc.A01G9/0299,372
counts_by_cpc.A01G9/0302,14
counts_by_cpc.A01G9/033,7
counts_by_cpc.A01G9/04,25
counts_by_cpc.A01G9/042,21
counts_by_cpc.A01G9/045,50
counts_by_cpc.A01G9/047,18
counts_by_cpc.A01G9/06,21
counts_by_cpc.A01G9/08,69
counts_by_cpc.A01G9/081,105
counts_by_cpc.A01G9/083,111
counts_by_cpc.A01G9/085,254
counts_by_cpc.A01G9/086,202
counts_by_cpc.A01G9/088,554
counts_by_cpc.A01G9/10,1
counts_by_cpc.A01G9/1006,1
counts_by_cpc.A01G9/1026,4
counts_by_cpc.A01G9/1033,1
counts_by_cpc.A01G9/104,4
counts_by_cpc.A01G9/1066,3
counts_by_cpc.A01G9/1073,2
counts_by_cpc.A01G9/108,9
counts_by_cpc.A01G9/1086,1
counts_by_cpc.A01G9/12,100
counts_by_cpc.A01G9/122,29
counts_by_cpc.A01G9/124,10
counts_by_cpc.A01G9/126,21
counts_by_cpc.A01G9/128,109
counts_by_cpc.A01G9/14,476
counts_by_cpc.A01G9/1407,276
counts_by_cpc.A01G9/1415,36
counts_by_cpc.A01G9/1423,187
counts_by_cpc.A01G9/143,1087
counts_by_cpc.A01G9/1438,69
counts_by_cpc.A01G9/1469,9
counts_by_cpc.A01G9/1476,11
counts_by_cpc.A01G9/16,567
counts_by_cpc.A01G9/18,387
counts_by_cpc.A01G9/20,161
counts_by_cpc.A01G9/22,54
counts_by_cpc.A01G9/222,3
counts_by_cpc.A01G9/225,2
counts_by_cpc.A01G9/227,4
counts_by_cpc.A01G9/24,344
counts_by_cpc.A01G9/241,37
counts_by_cpc.A01G9/242,34
counts_by_cpc.A01G9/243,54
counts_by_cpc.A01G9/245,27
counts_by_cpc.A01G9/246,219
counts_by_cpc.A01G9/247,432
counts_by_cpc.A01G9/249,369
counts_by_cpc.A01G9/26,188
counts_by_cpc.A01G9/28,99
counts_by_cpc.A01H1/00,1
counts_by_cpc.A01H1/02,28
counts_by_cpc.A01H1/023,1
counts_by_cpc.A01H1/025,14
counts_by_cpc.A01H1/026,1
counts_by_cpc.A01H1/027,94
counts_by_cpc.A01H1/04,27
counts_by_cpc.A01H1/045,2
counts_by_cpc.A01H1/06,1
counts_by_cpc.A01H1/101,1
counts_by_cpc.A01H1/12,2
counts_by_cpc.A01H15/00,5
counts_by_cpc.A01H17/00,1
counts_by_cpc.A01H3/00,1
counts_by_cpc.A01H3/02,1
counts_by_cpc.A01H3/04,3
counts_by_cpc.A01H4/00,32
counts_by_cpc.A01H4/001,81
counts_by_cpc.A01H4/002,3
counts_by_cpc.A01H4/003,37
counts_by_cpc.A01H4/005,8
counts_by_cpc.A01H4/006,48
counts_by_cpc.A01H4/008,12
counts_by_cpc.A01H5/04,2
counts_by_cpc.A01H5/06,2
counts_by_cpc.A01H5/08,1
counts_by_cpc.A01H5/10,62
counts_by_cpc.A01H6/00,1
counts_by_cpc.A01H6/064,1
counts_by_cpc.A01H6/202,1
counts_by_cpc.A01H6/28,1
counts_by_cpc.A01H6/4678,2
counts_by_cpc.A01H6/4684,29
counts_by_cpc.A01H6/542,30
counts_by_cpc.A01H6/604,2
counts_by_cpc.A01H6/749,1
counts_by_cpc.A01H6/823,1
counts_by_cpc.A01H6/825,2
counts_by_cpc.A01H6/827,1
counts_by_cpc.A01H7/00,2
counts_by_cpc.A01J11/00,3
counts_by_cpc.A01J11/06,2
counts_by_cpc.A01J11/10,1
counts_by_cpc.A01J15/00,1
counts_by_cpc.A01J21/02,2
counts_by_cpc.A01J25/00,32
counts_by_cpc.A01J25/001,4
counts_by_cpc.A01J25/002,19
counts_by_cpc.A01J25/004,8
counts_by_cpc.A01J25/005,1
counts_by_cpc.A01J25/008,18
counts_by_cpc.A01J25/02,2
counts_by_cpc.A01J25/08,1
counts_by_cpc.A01J25/11,3
counts_by_cpc.A01J25/111,5
counts_by_cpc.A01J25/112,4
counts_by_cpc.A01J25/114,21
counts_by_cpc.A01J25/115,5
counts_by_cpc.A01J25/12,32
counts_by_cpc.A01J25/123,8
counts_by_cpc.A01J25/126,6
counts_by_cpc.A01J25/13,1
counts_by_cpc.A01J25/15,3
counts_by_cpc.A01J25/16,4
counts_by_cpc.A01J25/162,122
counts_by_cpc.A01J25/165,4
counts_by_cpc.A01J25/167,12
counts_by_cpc.A01J27/00,25
counts_by_cpc.A01J27/005,6
counts_by_cpc.A01J27/02,11
counts_by_cpc.A01J27/04,16
counts_by_cpc.A01J3/00,3
counts_by_cpc.A01J5/00,61
counts_by_cpc.A01J5/003,231
counts_by_cpc.A01J5/007,360
counts_by_cpc.A01J5/0075,23
counts_by_cpc.A01J5/01,110
counts_by_cpc.A01J5/013,81
counts_by_cpc.A01J5/0131,5
counts_by_cpc.A01J5/0132,4
counts_by_cpc.A01J5/0133,41
counts_by_cpc.A01J5/0134,2
counts_by_cpc.A01J5/0135,23
counts_by_cpc.A01J5/0136,3
counts_by_cpc.A01J5/0137,1
counts_by_cpc.A01J5/0138,26
counts_by_cpc.A01J5/017,252
counts_by_cpc.A01J5/0175,800
counts_by_cpc.A01J5/02,4
counts_by_cpc.A01J5/04,105
counts_by_cpc.A01J5/041,21
counts_by_cpc.A01J5/042,2
counts_by_cpc.A01J5/044,20
counts_by_cpc.A01J5/045,4
counts_by_cpc.A01J5/047,6
counts_by_cpc.A01J5/048,13
counts_by_cpc.A01J5/06,79
counts_by_cpc.A01J5/08,44
counts_by_cpc.A01J5/10,2
counts_by_cpc.A01J5/12,1
counts_by_cpc.A01J5/14,1
counts_by_cpc.A01J5/16,3
counts_by_cpc.A01J7/00,224
counts_by_cpc.A01J7/005,1
counts_by_cpc.A01J7/02,43
counts_by_cpc.A01J7/022,17
counts_by_cpc.A01J7/025,107
counts_by_cpc.A01J7/027,3
counts_by_cpc.A01J7/04,382
counts_by_cpc.A01J9/00,78
counts_by_cpc.A01J9/04,5
counts_by_cpc.A01J9/08,1
counts_by_cpc.A01J9/10,1
counts_by_cpc.A01J99/00,1
counts_by_cpc.A01K1/00,101
counts_by_cpc.A01K1/0005,29
counts_by_cpc.A01K1/0011,59
counts_by_cpc.A01K1/0017,17
counts_by_cpc.A01K1/0023,92
counts_by_cpc.A01K1/0029,77
counts_by_cpc.A01K1/0035,40
counts_by_cpc.A01K1/0041,5
counts_by_cpc.A01K1/0047,46
counts_by_cpc.A01K1/0052,28
counts_by_cpc.A01K1/0058,13
counts_by_cpc.A01K1/0064,11
counts_by_cpc.A01K1/0076,48
counts_by_cpc.A01K1/0082,9
counts_by_cpc.A01K1/0088,17
counts_by_cpc.A01K1/0094,1
counts_by_cpc.A01K1/01,207
counts_by_cpc.A01K1/0103,22
counts_by_cpc.A01K1/0107,20
counts_by_cpc.A01K1/011,11
counts_by_cpc.A01K1/0114,19
counts_by_cpc.A01K1/0117,6
counts_by_cpc.A01K1/0121,1
counts_by_cpc.A01K1/0125,3
counts_by_cpc.A01K1/0128,69
counts_by_cpc.A01K1/0132,127
counts_by_cpc.A01K1/0135,130
counts_by_cpc.A01K1/0139,40
counts_by_cpc.A01K1/0142,38
counts_by_cpc.A01K1/0146,61
counts_by_cpc.A01K1/015,82
counts_by_cpc.A01K1/0151,30
counts_by_cpc.A01K1/0152,34
counts_by_cpc.A01K1/0154,6
counts_by_cpc.A01K1/0155,14
counts_by_cpc.A01K1/0157,13
counts_by_cpc.A01K1/0158,5
counts_by_cpc.A01K1/02,32
counts_by_cpc.A01K1/0209,3
counts_by_cpc.A01K1/0218,9
counts_by_cpc.A01K1/0227,2
counts_by_cpc.A01K1/0236,42
counts_by_cpc.A01K1/0245,28
counts_by_cpc.A01K1/0254,2
counts_by_cpc.A01K1/0263,11
counts_by_cpc.A01K1/0272,20
counts_by_cpc.A01K1/0281,1
counts_by_cpc.A01K1/029,1
counts_by_cpc.A01K1/03,68
counts_by_cpc.A01K1/031,178
counts_by_cpc.A01K1/0313,5
counts_by_cpc.A01K1/0317,1
counts_by_cpc.A01K1/032,18
counts_by_cpc.A01K1/033,41
counts_by_cpc.A01K1/0335,5
counts_by_cpc.A01K1/034,10
counts_by_cpc.A01K1/035,168
counts_by_cpc.A01K1/0353,7
counts_by_cpc.A01K1/0356,22
counts_by_cpc.A01K1/04,33
counts_by_cpc.A01K1/06,10
counts_by_cpc.A01K1/0606,7
counts_by_cpc.A01K1/0613,44
counts_by_cpc.A01K1/062,7
counts_by_cpc.A01K1/064,2
counts_by_cpc.A01K1/08,2
counts_by_cpc.A01K1/10,21
counts_by_cpc.A01K1/105,40
counts_by_cpc.A01K1/12,292
counts_by_cpc.A01K1/123,6
counts_by_cpc.A01K1/126,232
counts_by_cpc.A01K11/00,21
counts_by_cpc.A01K11/001,6
counts_by_cpc.A01K11/002,33
counts_by_cpc.A01K11/004,7
counts_by_cpc.A01K11/005,9
counts_by_cpc.A01K11/006,248
counts_by_cpc.A01K11/007,2
counts_by_cpc.A01K11/008,29
counts_by_cpc.A01K13/00,31
counts_by_cpc.A01K13/001,162
counts_by_cpc.A01K13/002,21
counts_by_cpc.A01K13/003,123
counts_by_cpc.A01K13/004,7
counts_by_cpc.A01K13/005,1
counts_by_cpc.A01K13/006,11
counts_by_cpc.A01K13/007,1
counts_by_cpc.A01K13/008,1
counts_by_cpc.A01K14/00,3
counts_by_cpc.A01K15/00,73
counts_by_cpc.A01K15/003,39
counts_by_cpc.A01K15/006,3
counts_by_cpc.A01K15/02,116
counts_by_cpc.A01K15/021,80
counts_by_cpc.A01K15/022,17
counts_by_cpc.A01K15/023,30
counts_by_cpc.A01K15/024,53
counts_by_cpc.A01K15/025,162
counts_by_cpc.A01K15/026,24
counts_by_cpc.A01K15/027,79
counts_by_cpc.A01K15/028,3
counts_by_cpc.A01K15/029,4
counts_by_cpc.A01K15/04,49
counts_by_cpc.A01K17/00,9
counts_by_cpc.A01K21/00,1
counts_by_cpc.A01K2207/05,1
